시도명,시군구명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
강원도,강릉시,212642,68175,86108,104765,121875,136371,32.06,40.49,49.27,57.31,64.13
강원도,고성군,27366,11495,14021,16276,17990,19345,42.00,51.24,59.48,65.74,70.69
강원도,동해시,89804,27640,35017,43268,50893,57458,30.78,38.99,48.18,56.67,63.98
강원도,삼척시,64264,23805,29272,34723,39439,43286,37.04,45.55,54.03,61.37,67.36
강원도,속초시,82737,24975,32285,40079,46389,52190,30.19,39.02,48.44,56.07,63.08
강원도,양구군,21701,7129,8915,10484,11738,12898,32.85,41.08,48.31,54.09,59.44
강원도,양양군,27901,12073,14641,16998,18844,20426,43.27,52.47,60.92,67.54,73.21
강원도,영월군,38003,16670,20412,23714,26155,28040,43.86,53.71,62.40,68.82,73.78
강원도,원주시,358659,87987,117366,149410,178785,206296,24.53,32.72,41.66,49.85,57.52
강원도,인제군,32216,10336,13039,15394,17349,19367,32.08,40.47,47.78,53.85,60.12
강원도,정선군,35446,15082,18512,21708,24251,26284,42.55,52.23,61.24,68.42,74.15
강원도,철원군,42964,14554,18146,21417,24283,26809,33.87,42.24,49.85,56.52,62.40
강원도,춘천시,285372,77761,100291,124584,145987,166554,27.25,35.14,43.66,51.16,58.36
강원도,태백시,40331,15069,18526,22064,25240,28063,37.36,45.93,54.71,62.58,69.58
강원도,평창군,41136,17924,22039,25667,28498,30693,43.57,53.58,62.40,69.28,74.61
강원도,홍천군,68047,27936,34461,39890,44225,47796,41.05,50.64,58.62,64.99,70.24
강원도,화천군,24046,8138,10114,11891,13244,14479,33.84,42.06,49.45,55.08,60.21
강원도,횡성군,46401,20902,25556,29321,31993,34221,45.05,55.08,63.19,68.95,73.75
경기도,가평군,62221,24449,30333,35493,39661,43217,39.29,48.75,57.04,63.74,69.46
경기도,고양시 덕양구,484122,113087,153391,197269,236745,275457,23.36,31.68,40.75,48.90,56.90
경기도,고양시 일산동구,299256,63574,89755,120260,146591,169492,21.24,29.99,40.19,48.99,56.64
경기도,고양시 일산서구,295687,62708,88478,119208,145799,167937,21.21,29.92,40.32,49.31,56.80
경기도,과천시,78128,16685,22998,29858,35632,41669,21.36,29.44,38.22,45.61,53.33
경기도,광명시,290698,66549,89374,115472,140774,164799,22.89,30.74,39.72,48.43,56.69
경기도,광주시,388213,87684,118799,153410,186282,221663,22.59,30.60,39.52,47.98,57.10
경기도,구리시,191213,44142,60737,78975,94767,110073,23.09,31.76,41.30,49.56,57.57
경기도,군포시,267173,61400,83996,108616,130622,150678,22.98,31.44,40.65,48.89,56.40
경기도,김포시,485882,95399,127505,165018,207290,257935,19.63,26.24,33.96,42.66,53.09
경기도,남양주시,734033,163120,219446,286316,352568,418777,22.22,29.90,39.01,48.03,57.05
경기도,동두천시,93346,28331,36301,44832,52217,58504,30.35,38.89,48.03,55.94,62.67
경기도,부천시,802473,193352,264468,337301,400362,461935,24.09,32.96,42.03,49.89,57.56
경기도,성남시 분당구,484680,96612,130885,175469,219182,260743,19.93,27.00,36.20,45.22,53.80
경기도,성남시 수정구,235377,59969,79510,99867,117846,135992,25.48,33.78,42.43,50.07,57.78
경기도,성남시 중원구,209406,54679,72678,91173,107084,122360,26.11,34.71,43.54,51.14,58.43
경기도,수원시 권선구,369288,72167,102189,134586,164244,195990,19.54,27.67,36.44,44.48,53.07
경기도,수원시 영통구,361145,48281,72475,103754,136455,170508,13.37,20.07,28.73,37.78,47.21
경기도,수원시 장안구,273541,59344,82277,108623,131918,152366,21.69,30.08,39.71,48.23,55.70
경기도,수원시 팔달구,181595,43127,57885,73972,88028,101216,23.75,31.88,40.73,48.47,55.74
경기도,시흥시,512455,86780,128925,176938,222403,269846,16.93,25.16,34.53,43.40,52.66
경기도,안산시 단원구,301483,59189,87494,117832,143419,165812,19.63,29.02,39.08,47.57,55.00
경기도,안산시 상록구,349670,70604,103477,139740,169520,194595,20.19,29.59,39.96,48.48,55.65
경기도,안성시,189539,51275,66684,83303,98519,113484,27.05,35.18,43.95,51.98,59.87
경기도,안양시 동안구,313589,64644,89371,118461,145672,170462,20.61,28.50,37.78,46.45,54.36
경기도,안양시 만안구,236237,62331,83504,104609,121811,138351,26.38,35.35,44.28,51.56,58.56
경기도,양주시,236239,58041,76715,97726,118516,137497,24.57,32.47,41.37,50.17,58.20
경기도,양평군,121726,46661,57709,67568,76310,83958,38.33,47.41,55.51,62.69,68.97
경기도,여주시,112393,37606,47949,57655,65930,73426,33.46,42.66,51.30,58.66,65.33
경기도,연천군,42784,16469,20293,23439,25949,28152,38.49,47.43,54.78,60.65,65.80
경기도,오산시,229918,37649,52785,71962,92952,116158,16.37,22.96,31.30,40.43,50.52
경기도,용인시 기흥구,440826,86081,115878,156789,198595,238706,19.53,26.29,35.57,45.05,54.15
경기도,용인시 수지구,375172,71093,95094,129214,165484,200443,18.95,25.35,34.44,44.11,53.43
경기도,용인시 처인구,259786,60750,81787,104982,127056,148394,23.38,31.48,40.41,48.91,57.12
경기도,의왕시,162493,38236,52579,67366,79547,91237,23.53,32.36,41.46,48.95,56.15
경기도,의정부시,464262,111587,150231,193150,230819,266463,24.04,32.36,41.60,49.72,57.39
경기도,이천시,222714,50897,67967,86621,104293,121818,22.85,30.52,38.89,46.83,54.70
경기도,파주시,486131,103505,138879,181431,222795,264887,21.29,28.57,37.32,45.83,54.49
경기도,평택시,568405,108963,151143,201466,249901,299792,19.17,26.59,35.44,43.97,52.74
경기도,포천시,148527,47957,63092,77012,87855,96465,32.29,42.48,51.85,59.15,64.95
경기도,하남시,323442,65193,86781,111383,137770,170050,20.16,26.83,34.44,42.59,52.58
경기도,화성시,890668,132476,186866,256772,336712,430029,14.87,20.98,28.83,37.80,48.28
경상남도,거제시,239554,47072,64973,87415,110529,134627,19.65,27.12,36.49,46.14,56.20
경상남도,거창군,60841,23818,28925,34021,38075,41391,39.15,47.54,55.92,62.58,68.03
경상남도,고성군,50126,22283,26843,31151,34331,37088,44.45,53.55,62.15,68.49,73.99
경상남도,김해시,536662,106000,150996,205211,254853,300989,19.75,28.14,38.24,47.49,56.09
경상남도,남해군,42221,21305,25049,28350,30842,32680,50.46,59.33,67.15,73.05,77.40
경상남도,밀양시,103482,43333,53097,61455,68118,74059,41.87,51.31,59.39,65.83,71.57
경상남도,사천시,109617,35377,44096,53707,62666,71033,32.27,40.23,49.00,57.17,64.80
경상남도,산청군,34197,17554,20899,23774,25641,27032,51.33,61.11,69.52,74.98,79.05
경상남도,양산시,354386,80725,109004,140623,170708,202326,22.78,30.76,39.68,48.17,57.09
경상남도,의령군,26335,13401,15790,17876,19415,20551,50.89,59.96,67.88,73.72,78.04
경상남도,진주시,345957,90896,117476,148044,175491,201111,26.27,33.96,42.79,50.73,58.13
경상남도,창녕군,59767,26796,32504,37347,40903,44141,44.83,54.38,62.49,68.44,73.86
경상남도,창원시 마산합포구,181235,57982,72482,87311,100251,114205,31.99,39.99,48.18,55.32,63.01
경상남도,창원시 마산회원구,185646,53450,69752,86793,101849,116018,28.79,37.57,46.75,54.86,62.49
경상남도,창원시 성산구,250100,45953,70449,96616,117584,136536,18.37,28.17,38.63,47.01,54.59
경상남도,창원시 의창구,217224,51347,71692,92365,109203,126149,23.64,33.00,42.52,50.27,58.07
경상남도,창원시 진해구,194670,44026,57555,73819,91326,109862,22.62,29.57,37.92,46.91,56.43
경상남도,통영시,124872,39056,49677,60969,71506,81705,31.28,39.78,48.83,57.26,65.43
경상남도,하동군,43114,21129,25279,29091,31748,33551,49.01,58.63,67.47,73.64,77.82
경상남도,함안군,62269,23490,29069,34461,39209,43275,37.72,46.68,55.34,62.97,69.50
경상남도,함양군,38283,17806,21275,24536,26842,28594,46.51,55.57,64.09,70.11,74.69
경상남도,합천군,42716,22991,26843,30139,32324,34068,53.82,62.84,70.56,75.67,79.75
경상북도,경산시,267844,69867,91842,115808,137408,157449,26.08,34.29,43.24,51.30,58.78
경상북도,경주시,251154,84629,108022,131237,150351,166754,33.70,43.01,52.25,59.86,66.40
경상북도,고령군,30525,13907,16978,19607,21610,23135,45.56,55.62,64.23,70.79,75.79
경상북도,구미시,410412,70762,103226,140901,176539,213537,17.24,25.15,34.33,43.02,52.03
경상북도,군위군,23258,12852,15334,17073,18206,19090,55.26,65.93,73.41,78.28,82.08
경상북도,김천시,140078,47066,59069,70674,80461,89822,33.60,42.17,50.45,57.44,64.12
경상북도,문경시,72283,30403,36701,42389,47165,51032,42.06,50.77,58.64,65.25,70.60
경상북도,봉화군,30594,15761,18831,21196,22880,24173,51.52,61.55,69.28,74.79,79.01
경상북도,상주시,95771,41951,50540,58044,64128,68964,43.80,52.77,60.61,66.96,72.01
경상북도,성주군,42944,20230,24778,28234,30735,32723,47.11,57.70,65.75,71.57,76.20
경상북도,안동시,156182,55371,68049,81019,92588,102492,35.45,43.57,51.87,59.28,65.62
경상북도,영덕군,35166,17903,21113,23879,25876,27474,50.91,60.04,67.90,73.58,78.13
경상북도,영양군,16256,8296,9858,11116,12004,12687,51.03,60.64,68.38,73.84,78.05
경상북도,영주시,101599,39546,48160,56750,64123,70139,38.92,47.40,55.86,63.11,69.04
경상북도,영천시,101552,41045,50365,59008,65708,71128,40.42,49.60,58.11,64.70,70.04
경상북도,예천군,55538,22550,26722,30416,33997,37684,40.60,48.11,54.77,61.21,67.85
경상북도,울릉군,8977,3522,4461,5326,5984,6540,39.23,49.69,59.33,66.66,72.85
경상북도,울진군,47483,19042,23312,27328,30550,33268,40.10,49.10,57.55,64.34,70.06
경상북도,의성군,50560,28386,32959,36518,38941,40916,56.14,65.19,72.23,77.02,80.93
경상북도,청도군,41781,21896,25803,28954,31291,33190,52.41,61.76,69.30,74.89,79.44
경상북도,청송군,24538,12754,15255,17165,18447,19380,51.98,62.17,69.95,75.18,78.98
경상북도,칠곡군,113455,28348,37804,48480,59055,69033,24.99,33.32,42.73,52.05,60.85
경상북도,포항시 남구,229821,65358,85276,106055,124086,141483,28.44,37.11,46.15,53.99,61.56
경상북도,포항시 북구,271870,76637,100495,124626,145414,165651,28.19,36.96,45.84,53.49,60.93
광주광역시,광산구,403407,63523,92847,130691,169306,205625,15.75,23.02,32.40,41.97,50.97
광주광역시,남구,215008,56152,71678,89116,106472,123587,26.12,33.34,41.45,49.52,57.48
광주광역시,동구,103081,31143,38748,46558,53555,60675,30.21,37.59,45.17,51.95,58.86
광주광역시,북구,427178,101757,136257,173373,207285,239299,23.82,31.90,40.59,48.52,56.02
광주광역시,서구,289789,65644,88521,115307,139817,161977,22.65,30.55,39.79,48.25,55.89
대구광역시,남구,142437,48076,59805,72018,82141,91169,33.75,41.99,50.56,57.67,64.01
대구광역시,달서구,542328,132282,180885,233264,278088,317603,24.39,33.35,43.01,51.28,58.56
대구광역시,달성군,262372,55615,75655,96741,117636,141699,21.20,28.84,36.87,44.84,54.01
대구광역시,동구,341498,101187,129062,157684,183254,208600,29.63,37.79,46.17,53.66,61.08
대구광역시,북구,437284,102579,139166,180939,218126,250580,23.46,31.83,41.38,49.88,57.30
대구광역시,서구,163042,57805,74711,89593,101049,110634,35.45,45.82,54.95,61.98,67.86
대구광역시,수성구,415829,101071,134901,175837,213460,245319,24.31,32.44,42.29,51.33,59.00
대구광역시,중구,75704,21292,26587,32475,37870,43187,28.13,35.12,42.90,50.02,57.05
대전광역시,대덕구,175294,46019,61800,79355,93475,105322,26.25,35.26,45.27,53.32,60.08
대전광역시,동구,220860,64015,81322,100104,117339,133241,28.98,36.82,45.32,53.13,60.33
대전광역시,서구,472417,100062,134781,176586,215794,252710,21.18,28.53,37.38,45.68,53.49
대전광역시,유성구,351989,59739,84260,114627,144624,174729,16.97,23.94,32.57,41.09,49.64
대전광역시,중구,229497,66970,85211,105645,124092,140528,29.18,37.13,46.03,54.07,61.23
부산광역시,강서구,143429,27963,36276,45127,55741,71777,19.50,25.29,31.46,38.86,50.04
부산광역시,금정구,225608,72637,92220,111179,126888,141945,32.20,40.88,49.28,56.24,62.92
부산광역시,기장군,176570,42150,53550,67305,82704,100424,23.87,30.33,38.12,46.84,56.87
부산광역시,남구,260581,78410,98086,120426,141080,160553,30.09,37.64,46.21,54.14,61.61
부산광역시,동구,88283,32643,39635,47028,53006,58650,36.98,44.90,53.27,60.04,66.43
부산광역시,동래구,274134,76407,97242,120378,142433,164447,27.87,35.47,43.91,51.96,59.99
부산광역시,부산진구,351154,104822,132536,160979,186162,210676,29.85,37.74,45.84,53.01,60.00
부산광역시,북구,281198,81809,108466,133619,153697,173042,29.09,38.57,47.52,54.66,61.54
부산광역시,사상구,206804,64063,84108,102404,116763,130556,30.98,40.67,49.52,56.46,63.13
부산광역시,사하구,305762,93289,119449,146152,168802,190819,30.51,39.07,47.80,55.21,62.41
부산광역시,서구,104323,38009,46495,54969,62216,68963,36.43,44.57,52.69,59.64,66.11
부산광역시,수영구,174661,54839,67753,81785,94095,106638,31.40,38.79,46.82,53.87,61.05
부산광역시,연제구,206932,61157,77181,94590,110097,126068,29.55,37.30,45.71,53.20,60.92
부산광역시,영도구,109660,44002,53358,62392,70033,76744,40.13,48.66,56.90,63.86,69.98
부산광역시,중구,40596,15461,18778,22124,24899,27211,38.09,46.26,54.50,61.33,67.03
부산광역시,해운대구,393809,108059,140532,177285,209854,240579,27.44,35.69,45.02,53.29,61.09
서울특별시,강남구,532577,112234,147106,194590,244670,292166,21.07,27.62,36.54,45.94,54.86
서울특별시,강동구,461300,112687,147201,184224,220009,259017,24.43,31.91,39.94,47.69,56.15
서울특별시,강북구,297384,91061,115730,142502,165382,185778,30.62,38.92,47.92,55.61,62.47
서울특별시,강서구,573046,138282,178564,222299,265536,311403,24.13,31.16,38.79,46.34,54.34
서울특별시,관악구,486375,113347,145131,180158,212538,245346,23.30,29.84,37.04,43.70,50.44
서울특별시,광진구,340707,77729,103289,131580,156900,181926,22.81,30.32,38.62,46.05,53.40
서울특별시,구로구,396017,104203,134208,166391,196575,227389,26.31,33.89,42.02,49.64,57.42
서울특별시,금천구,231098,61234,81025,100335,116354,131870,26.50,35.06,43.42,50.35,57.06
서울특별시,노원구,510486,129454,168682,216305,259708,297394,25.36,33.04,42.37,50.87,58.26
서울특별시,도봉구,316098,94084,121052,149908,173797,195618,29.76,38.30,47.42,54.98,61.89
서울특별시,동대문구,337982,89234,114222,141331,165633,190270,26.40,33.80,41.82,49.01,56.30
서울특별시,동작구,386017,95371,122713,153498,181905,210641,24.71,31.79,39.76,47.12,54.57
서울특별시,마포구,368331,78383,103082,133609,163446,193072,21.28,27.99,36.27,44.37,52.42
서울특별시,서대문구,305866,77185,99963,126037,148961,171269,25.23,32.68,41.21,48.70,55.99
서울특별시,서초구,409823,87416,114216,150053,188023,224630,21.33,27.87,36.61,45.88,54.81
서울특별시,성동구,285073,68693,90469,114582,135606,157661,24.10,31.74,40.19,47.57,55.31
서울특별시,성북구,433150,107656,139301,177516,212620,245032,24.85,32.16,40.98,49.09,56.57
서울특별시,송파구,662607,148719,196659,251119,303540,359577,22.44,29.68,37.90,45.81,54.27
서울특별시,양천구,446182,104034,138878,180124,219885,256121,23.32,31.13,40.37,49.28,57.40
서울특별시,영등포구,376740,89311,116361,145492,172333,200863,23.71,30.89,38.62,45.74,53.32
서울특별시,용산구,222169,55608,72294,91602,108150,125089,25.03,32.54,41.23,48.68,56.30
서울특별시,은평구,472259,126027,162197,203368,241094,277066,26.69,34.34,43.06,51.05,58.67
서울특별시,종로구,144275,39371,51234,64251,75032,84969,27.29,35.51,44.53,52.01,58.89
서울특별시,중구,122173,34329,43990,54265,62717,71545,28.10,36.01,44.42,51.33,58.56
서울특별시,중랑구,389043,107590,140937,174728,202380,230528,27.66,36.23,44.91,52.02,59.26
울산광역시,남구,312328,68654,97645,129063,154436,178207,21.98,31.26,41.32,49.45,57.06
울산광역시,동구,153330,36193,48503,60796,73030,87022,23.60,31.63,39.65,47.63,56.75
울산광역시,북구,219052,34881,53946,73889,92006,113184,15.92,24.63,33.73,42.00,51.67
울산광역시,울주군,221777,55333,75744,97990,116995,133840,24.95,34.15,44.18,52.75,60.35
울산광역시,중구,211523,55197,75153,95166,111637,128014,26.10,35.53,44.99,52.78,60.52
인천광역시,강화군,69780,32637,39005,44240,48365,51895,46.77,55.90,63.40,69.31,74.37
인천광역시,계양구,294201,69871,99870,128619,151890,172764,23.75,33.95,43.72,51.63,58.72
인천광역시,남동구,516176,119724,162687,208535,251584,295021,23.19,31.52,40.40,48.74,57.16
인천광역시,동구,60382,20216,25001,29988,34847,39520,33.48,41.40,49.66,57.71,65.45
인천광역시,미추홀구,406943,107384,140177,174802,206285,238058,26.39,34.45,42.95,50.69,58.50
인천광역시,부평구,484844,120425,164023,207900,245965,282224,24.84,33.83,42.88,50.73,58.21
인천광역시,서구,565436,105934,151603,202555,251233,301930,18.73,26.81,35.82,44.43,53.40
인천광역시,연수구,388732,69472,99976,134538,168652,203437,17.87,25.72,34.61,43.39,52.33
인천광역시,옹진군,20533,8355,10331,11844,13064,14154,40.69,50.31,57.68,63.62,68.93
인천광역시,중구,145672,32107,41964,53831,66463,79554,22.04,28.81,36.95,45.63,54.61
전라남도,강진군,33534,15872,18822,21359,23331,24864,47.33,56.13,63.69,69.57,74.15
전라남도,고흥군,62527,33608,39002,43540,46919,49462,53.75,62.38,69.63,75.04,79.11
전라남도,곡성군,27432,13358,15895,18089,19768,20948,48.69,57.94,65.94,72.06,76.36
전라남도,광양시,151410,32956,46971,62690,74457,85884,21.77,31.02,41.40,49.18,56.72
전라남도,구례군,25130,11873,14212,16390,17929,19105,47.25,56.55,65.22,71.35,76.02
전라남도,나주시,116497,36660,45642,54185,62330,70977,31.47,39.18,46.51,53.50,60.93
전라남도,담양군,46208,19817,24175,28041,30933,33136,42.89,52.32,60.68,66.94,71.71
전라남도,목포시,218241,56951,74139,93246,111813,129339,26.10,33.97,42.73,51.23,59.26
전라남도,무안군,90874,24731,31167,38238,45291,52801,27.21,34.30,42.08,49.84,58.10
전라남도,보성군,39200,20011,23516,26493,28655,30345,51.05,59.99,67.58,73.10,77.41
전라남도,순천시,280719,68977,92885,118253,140545,160665,24.57,33.09,42.13,50.07,57.23
전라남도,신안군,38113,18921,22735,25772,28060,29874,49.64,59.65,67.62,73.62,78.38
전라남도,여수시,276145,81207,105002,129358,150628,169877,29.41,38.02,46.84,54.55,61.52
전라남도,영광군,51947,20588,24972,29016,32401,35246,39.63,48.07,55.86,62.37,67.85
전라남도,영암군,52970,19660,24563,29157,33072,36370,37.12,46.37,55.04,62.44,68.66
전라남도,완도군,48329,21365,25448,29181,32258,35065,44.21,52.66,60.38,66.75,72.55
전라남도,장성군,43241,17960,21882,25434,28315,30665,41.53,50.60,58.82,65.48,70.92
전라남도,장흥군,36298,16808,20020,22927,25024,26719,46.31,55.15,63.16,68.94,73.61
전라남도,진도군,29915,13581,16238,18514,20386,21890,45.40,54.28,61.89,68.15,73.17
전라남도,함평군,31167,15343,18264,20683,22551,23934,49.23,58.60,66.36,72.36,76.79
전라남도,해남군,66961,29849,35835,41113,45350,48740,44.58,53.52,61.40,67.73,72.79
전라남도,화순군,62643,23385,29154,34833,39345,42708,37.33,46.54,55.61,62.81,68.18
전라북도,고창군,53151,24709,29310,33505,36793,39345,46.49,55.14,63.04,69.22,74.02
전라북도,군산시,264656,75578,96546,120014,142116,162574,28.56,36.48,45.35,53.70,61.43
전라북도,김제시,80806,35315,42234,48528,53787,58055,43.70,52.27,60.05,66.56,71.84
전라북도,남원시,79015,30843,37621,44416,50103,54417,39.03,47.61,56.21,63.41,68.87
전라북도,무주군,23745,10869,13047,14990,16527,17688,45.77,54.95,63.13,69.60,74.49
전라북도,부안군,50615,23094,27639,31646,34882,37418,45.63,54.61,62.52,68.92,73.93
전라북도,순창군,26689,12320,14603,16732,18459,19788,46.16,54.72,62.69,69.16,74.14
전라북도,완주군,91041,30778,38430,46108,52954,59324,33.81,42.21,50.65,58.17,65.16
전라북도,익산시,277151,83061,106938,131538,153269,171570,29.97,38.58,47.46,55.30,61.90
전라북도,임실군,26664,13109,15582,17639,19086,20249,49.16,58.44,66.15,71.58,75.94
전라북도,장수군,21645,10107,12059,13739,15060,16137,46.69,55.71,63.47,69.58,74.55
전라북도,전주시 덕진구,321348,69012,92222,119331,146426,173032,21.48,28.70,37.13,45.57,53.85
전라북도,전주시 완산구,334531,82512,109442,139889,167271,190945,24.66,32.72,41.82,50.00,57.08
전라북도,정읍시,106187,40878,49989,59056,66833,73025,38.50,47.08,55.62,62.94,68.77
전라북도,진안군,24961,12088,14541,16488,17949,19004,48.43,58.25,66.06,71.91,76.13
제주특별자치도,서귀포시,184195,52560,68125,85120,100465,114623,28.53,36.99,46.21,54.54,62.23
제주특별자치도,제주시,493023,109373,147922,192731,234508,274683,22.18,30.00,39.09,47.57,55.71
충청남도,계룡시,43419,8565,11628,15760,20211,24040,19.73,26.78,36.30,46.55,55.37
충청남도,공주시,103214,39879,48954,57467,64295,70286,38.64,47.43,55.68,62.29,68.10
충청남도,금산군,50290,22345,26989,31181,34449,37055,44.43,53.67,62.00,68.50,73.68
충청남도,논산시,114043,43769,53436,62928,70900,77443,38.38,46.86,55.18,62.17,67.91
충청남도,당진시,166971,46200,59074,72860,86244,100118,27.67,35.38,43.64,51.65,59.96
충청남도,보령시,97959,37212,45541,53713,60881,66957,37.99,46.49,54.83,62.15,68.35
충청남도,부여군,63324,30684,36048,40838,44618,47509,48.46,56.93,64.49,70.46,75.03
충청남도,서산시,176452,48422,62092,77187,91280,104990,27.44,35.19,43.74,51.73,59.50
충청남도,서천군,50597,25044,29331,33196,36224,38588,49.50,57.97,65.61,71.59,76.27
충청남도,아산시,328576,66263,88401,115209,143136,174717,20.17,26.90,35.06,43.56,53.17
충청남도,예산군,76443,34100,40739,46960,52057,55878,44.61,53.29,61.43,68.10,73.10
충청남도,천안시 동남구,254934,60393,81064,103787,125155,145496,23.69,31.80,40.71,49.09,57.07
충청남도,천안시 서북구,401768,60687,87830,121557,155003,191546,15.10,21.86,30.26,38.58,47.68
충청남도,청양군,30547,15002,17743,19991,21690,22916,49.11,58.08,65.44,71.01,75.02
충청남도,태안군,61437,27462,32943,37931,41946,45324,44.70,53.62,61.74,68.27,73.77
충청남도,홍성군,99125,33562,41219,49191,56620,63410,33.86,41.58,49.63,57.12,63.97
충청북도,괴산군,37323,18832,22833,25871,27926,29516,50.46,61.18,69.32,74.82,79.08
충청북도,단양군,28128,13256,16133,18518,20206,21520,47.13,57.36,65.83,71.84,76.51
충청북도,보은군,31800,15663,18801,21228,22957,24335,49.25,59.12,66.75,72.19,76.53
충청북도,영동군,45536,20844,25174,28866,31660,33767,45.77,55.28,63.39,69.53,74.15
충청북도,옥천군,49887,21543,26103,30243,33530,36245,43.18,52.32,60.62,67.21,72.65
충청북도,음성군,92155,30762,39623,48143,55255,61507,33.38,43.00,52.24,59.96,66.74
충청북도,제천시,132416,44916,56453,68246,77695,85787,33.92,42.63,51.54,58.67,64.79
충청북도,증평군,36822,10041,12984,16149,18977,21713,27.27,35.26,43.86,51.54,58.97
충청북도,진천군,85596,21448,28213,35394,42197,49319,25.06,32.96,41.35,49.30,57.62
충청북도,청주시 상당구,194484,47384,63360,80735,96590,111400,24.36,32.58,41.51,49.66,57.28
충청북도,청주시 서원구,192916,47577,63455,81340,97271,110842,24.66,32.89,42.16,50.42,57.46
충청북도,청주시 청원구,194176,39750,52654,67499,83166,100199,20.47,27.12,34.76,42.83,51.60
충청북도,청주시 흥덕구,267299,50571,70523,93560,115272,136958,18.92,26.38,35.00,43.12,51.24
충청북도,충주시,208946,64348,82554,101144,117038,131303,30.80,39.51,48.41,56.01,62.84
